Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,168.250000,168.250000,157.539993,158.279999,158.279999,7049800
2022-02-23,158.940002,166.380005,153.970001,159.800003,159.800003,8535400
2022-03-02,160.419998,162.399994,152.979996,156.100006,156.100006,10897400
2022-03-09,158.000000,161.220001,133.539993,142.880005,142.880005,11854800
2022-03-16,143.570007,154.479996,141.949997,152.289993,152.289993,8342500
2022-03-23,150.820007,159.500000,148.509995,158.570007,158.570007,6694400
2022-03-30,157.320007,159.509995,150.919998,151.899994,151.899994,6302900
2022-04-06,150.419998,152.000000,137.960007,138.360001,138.360001,8963900
2022-04-13,137.869995,140.690002,133.899994,140.369995,140.369995,6863800
2022-04-20,140.130005,140.350006,124.879997,125.010002,125.010002,11762300
2022-04-27,124.620003,125.989998,117.839996,121.349998,121.349998,9689600
2022-05-04,122.620003,124.959999,101.849998,103.589996,103.589996,15246300
2022-05-11,103.239998,124.589996,102.160004,123.080002,123.080002,22900400
2022-05-18,121.279999,127.000000,114.250000,122.690002,122.690002,41480700
2022-05-25,121.629997,128.039993,118.489998,124.529999,124.529999,14383300
2022-06-01,125.860001,134.820007,122.589996,131.649994,131.649994,10862400
2022-06-08,132.000000,133.990005,120.480003,121.410004,121.410004,12127200
2022-06-15,122.150002,129.000000,121.839996,128.779999,128.779999,10686900
2022-06-22,127.949997,134.169998,126.050003,126.180000,126.180000,11962300
2022-06-29,125.550003,127.940002,121.050003,127.040001,127.040001,6164200
2022-07-06,127.269997,127.720001,120.989998,121.989998,121.989998,7012100
2022-07-13,119.930000,128.289993,118.559998,126.970001,126.970001,9165600
2022-07-20,127.379997,133.789993,127.089996,131.100006,131.100006,6552000
2022-07-27,130.509995,132.880005,126.150002,126.660004,126.660004,9912000
2022-08-03,127.480003,130.330002,118.029999,120.760002,120.760002,17064100
2022-08-10,122.080002,137.429993,120.320000,136.589996,136.589996,13243900
2022-08-17,134.309998,135.830002,123.459999,124.360001,124.360001,9602200
2022-08-24,124.610001,130.449997,121.309998,123.040001,123.040001,7799200
2022-08-31,124.419998,125.680000,117.250000,119.529999,119.529999,5739500
2022-09-07,118.489998,130.860001,117.199997,127.019997,127.019997,7637300
2022-09-14,126.650002,129.990005,120.050003,121.690002,121.690002,10898400
2022-09-21,121.690002,122.470001,106.540001,109.900002,109.900002,9763100
2022-09-28,110.269997,117.169998,108.400002,116.589996,116.589996,8768600
2022-10-05,115.029999,122.610001,111.650002,115.089996,115.089996,8501700
2022-10-12,116.589996,121.930000,112.500000,121.290001,121.290001,7113700
2022-10-19,119.930000,127.080002,119.330002,125.029999,125.029999,6127700
2022-10-26,124.029999,126.400002,115.959999,116.309998,116.309998,8629400
2022-11-02,115.070000,118.440002,90.000000,93.570000,93.570000,30708100
2022-11-09,93.269997,104.050003,92.760002,101.029999,101.029999,16545100
2022-11-16,100.680000,102.669998,96.000000,100.290001,100.290001,9879100
2022-11-23,100.730003,103.669998,99.580002,101.349998,101.349998,5020700
2022-11-30,101.279999,109.800003,100.139999,101.269997,101.269997,12181400
2022-12-07,100.900002,108.940002,98.199997,104.550003,104.550003,9402000
2022-12-14,104.320000,106.860001,97.209999,98.110001,98.110001,12462500
2022-12-21,98.199997,99.930000,97.230003,99.379997,99.379997,5892600
2022-12-28,99.419998,106.260002,98.550003,103.110001,103.110001,6873500
2023-01-04,103.500000,108.629997,103.269997,105.529999,105.529999,8795600
2023-01-11,105.980003,106.930000,101.529999,104.540001,104.540001,6368000
2023-01-18,104.540001,111.660004,101.769997,111.269997,111.269997,7082400
2023-01-25,109.589996,115.339996,109.269997,113.230003,113.230003,7654500
2023-02-01,111.250000,115.209999,104.129997,113.849998,113.849998,20121900
2023-02-08,112.739998,114.449997,108.820000,112.089996,112.089996,9042600
2023-02-15,111.970001,116.029999,110.320000,112.019997,112.019997,6360700
2023-02-22,112.379997,113.080002,107.919998,109.550003,109.550003,6666200
2023-03-01,109.910004,119.449997,108.480003,116.879997,116.879997,11187900
2023-03-08,116.389999,117.099998,108.389999,113.809998,113.809998,6016200
2023-03-15,113.089996,119.239998,111.750000,118.589996,118.589996,8950300
2023-03-22,118.320000,120.040001,113.510002,115.550003,115.550003,6929500
2023-03-29,116.260002,121.839996,115.300003,121.639999,121.639999,6064100
2023-04-05,121.489998,121.790001,117.349998,120.389999,120.389999,4797700
2023-04-12,118.750000,124.830002,118.500000,124.309998,124.309998,6135800
2023-04-19,123.330002,128.300003,122.769997,127.010002,127.010002,6691300
2023-04-26,125.989998,126.129997,120.279999,121.620003,121.620003,9515800
2023-05-03,121.930000,125.940002,119.570000,124.599998,124.599998,6393100
2023-05-10,126.269997,127.620003,122.440002,124.050003,124.050003,6694400
2023-05-17,123.489998,141.960007,121.720001,135.779999,135.779999,24174800
2023-05-24,135.529999,139.949997,134.649994,138.279999,138.279999,5456800
2023-05-31,137.350006,139.339996,135.509995,135.679993,135.679993,8658600
2023-06-07,135.679993,137.559998,131.509995,136.470001,136.470001,6498900
2023-06-14,136.330002,139.410004,134.449997,139.029999,139.029999,5928800
2023-06-21,139.029999,146.800003,138.940002,146.339996,146.339996,10513700
2023-06-28,147.339996,149.039993,144.100006,147.729996,147.729996,4010100
2023-07-05,146.449997,151.050003,142.339996,150.750000,150.750000,8811500
2023-07-12,151.559998,153.720001,147.279999,153.550003,153.550003,6547800
2023-07-19,153.839996,153.839996,148.839996,151.029999,151.029999,4373500
2023-07-26,150.660004,153.750000,149.000000,151.789993,151.789993,4480400
2023-08-02,149.970001,149.979996,138.479996,140.139999,140.139999,8434400
2023-08-09,140.000000,143.839996,136.919998,139.509995,139.509995,9762900
2023-08-16,139.350006,141.970001,135.979996,140.479996,140.479996,5589400
2023-08-23,141.080002,145.820007,139.059998,141.389999,141.389999,5488500
2023-08-30,141.860001,143.619995,140.529999,141.179993,141.179993,4745200
2023-09-06,141.300003,146.229996,139.759995,143.190002,143.190002,4636000
2023-09-13,143.130005,145.500000,139.649994,143.910004,143.910004,5580400
2023-09-20,144.330002,144.330002,135.729996,137.380005,137.380005,5082100
2023-09-27,137.679993,141.559998,137.039993,137.559998,137.559998,5732900
2023-10-04,137.789993,146.339996,136.679993,145.240005,145.240005,5544600
2023-10-11,147.369995,148.960007,139.740005,144.860001,144.860001,6850300
2023-10-18,144.509995,145.000000,138.800003,142.690002,142.690002,7251600
2023-10-25,141.899994,142.699997,130.339996,133.750000,133.750000,8026700
2023-11-01,133.929993,139.669998,132.169998,136.360001,136.360001,8784500
2023-11-08,148.210007,156.210007,143.130005,153.399994,153.399994,20250200
2023-11-15,153.639999,156.960007,152.779999,155.740005,155.740005,6325600
2023-11-22,156.399994,158.169998,155.429993,156.679993,156.679993,3991000
2023-11-29,157.589996,161.600006,152.119995,156.759995,156.759995,10279800
2023-12-06,157.500000,158.809998,152.100006,157.199997,157.199997,11809500
2023-12-13,161.139999,164.850006,157.750000,159.399994,159.399994,26384500
2023-12-20,158.210007,162.899994,157.500000,161.619995,161.619995,4749100
2023-12-27,161.589996,162.919998,157.990005,159.259995,159.259995,4144600
2024-01-03,158.889999,161.139999,156.660004,159.220001,159.220001,5286500
2024-01-10,158.570007,163.600006,158.309998,161.880005,161.880005,4350500
2024-01-17,160.440002,165.779999,158.369995,165.149994,165.149994,5392800
2024-01-24,166.119995,169.559998,164.820007,166.940002,166.940002,6133800
2024-01-31,165.339996,168.250000,162.440002,166.669998,166.669998,5760500
2024-02-07,168.350006,171.589996,151.660004,153.490005,153.490005,16894800
2024-02-14,154.800003,157.429993,150.479996,151.940002,151.940002,6405900
2024-02-21,152.000000,153.830002,147.009995,147.940002,147.940002,7870700
2024-02-28,148.479996,150.830002,142.000000,143.940002,143.940002,11941600
2024-03-06,145.949997,147.529999,142.639999,144.529999,144.529999,7919500
2024-03-13,144.529999,146.690002,141.449997,145.199997,145.199997,10011200
2024-03-20,145.460007,153.240005,141.830002,146.669998,146.669998,11773900
2024-03-27,148.000000,150.339996,144.570007,148.490005,148.490005,2837900
